id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita_hipertensi,satuan,tahun
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,360106.0,ORANG,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,106219.0,ORANG,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,91707.0,ORANG,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,94321.0,ORANG,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,82946.0,ORANG,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,15735.0,ORANG,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69401.0,ORANG,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,73113.0,ORANG,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,555759.0,ORANG,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,82954.0,ORANG,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67812.0,ORANG,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,124791.0,ORANG,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,158638.0,ORANG,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,76325.0,ORANG,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,30522.0,ORANG,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,82311.0,ORANG,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,22090.0,ORANG,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,68847.0,ORANG,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,90805.0,ORANG,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,124660.0,ORANG,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,106429.0,ORANG,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,56173.0,ORANG,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,55999.0,ORANG,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,19129.0,ORANG,2023
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,182707.0,ORANG,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,193923.0,ORANG,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,61886.0,ORANG,2024
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,332683.0,ORANG,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,117271.0,ORANG,2024
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,28257.0,ORANG,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,63302.0,ORANG,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,81594.0,ORANG,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,46016.0,ORANG,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,116939.0,ORANG,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,121808.0,ORANG,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,19378.0,ORANG,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,96037.0,ORANG,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,40123.0,ORANG,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,99699.0,ORANG,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,47037.0,ORANG,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,44125.0,ORANG,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28996.0,ORANG,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,89726.0,ORANG,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,37136.0,ORANG,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,208287.0,ORANG,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,24065.0,ORANG,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,136004.0,ORANG,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,152907.0,ORANG,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,41215.0,ORANG,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,61450.0,ORANG,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,111.22,PERSEN,2024
