id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepemilikan,jumlah_faskes,satuan,tahun
146,32,JAWA BARAT,3273,KOTA BANDUNG,BUMN,1,UNIT,2019
147,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,14,UNIT,2019
148,32,JAWA BARAT,3274,KOTA CIREBON,KEMENKES,0,UNIT,2019
149,32,JAWA BARAT,3274,KOTA CIREBON,KEMENTERIAN LAIN,0,UNIT,2019
150,32,JAWA BARAT,3274,KOTA CIREBON,PEM.PROV,0,UNIT,2019
151,32,JAWA BARAT,3274,KOTA CIREBON,PEM.KAB/KOTA,1,UNIT,2019
152,32,JAWA BARAT,3274,KOTA CIREBON,TNI/POLRI,1,UNIT,2019
153,32,JAWA BARAT,3274,KOTA CIREBON,BUMN,1,UNIT,2019
154,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,6,UNIT,2019
155,32,JAWA BARAT,3275,KOTA BEKASI,KEMENKES,0,UNIT,2019
156,32,JAWA BARAT,3275,KOTA BEKASI,KEMENTERIAN LAIN,0,UNIT,2019
157,32,JAWA BARAT,3275,KOTA BEKASI,PEM.PROV,0,UNIT,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,PEM.KAB/KOTA,4,UNIT,2019
159,32,JAWA BARAT,3275,KOTA BEKASI,TNI/POLRI,0,UNIT,2019
160,32,JAWA BARAT,3275,KOTA BEKASI,BUMN,0,UNIT,2019
161,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,38,UNIT,2019
162,32,JAWA BARAT,3276,KOTA DEPOK,KEMENKES,0,UNIT,2019
163,32,JAWA BARAT,3276,KOTA DEPOK,KEMENTERIAN LAIN,1,UNIT,2019
164,32,JAWA BARAT,3276,KOTA DEPOK,PEM.PROV,0,UNIT,2019
165,32,JAWA BARAT,3276,KOTA DEPOK,PEM.KAB/KOTA,1,UNIT,2019
166,32,JAWA BARAT,3276,KOTA DEPOK,TNI/POLRI,1,UNIT,2019
167,32,JAWA BARAT,3276,KOTA DEPOK,BUMN,0,UNIT,2019
168,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,15,UNIT,2019
169,32,JAWA BARAT,3277,KOTA CIMAHI,KEMENKES,0,UNIT,2019
170,32,JAWA BARAT,3277,KOTA CIMAHI,KEMENTERIAN LAIN,0,UNIT,2019
171,32,JAWA BARAT,3277,KOTA CIMAHI,PEM.PROV,0,UNIT,2019
172,32,JAWA BARAT,3277,KOTA CIMAHI,PEM.KAB/KOTA,1,UNIT,2019
173,32,JAWA BARAT,3277,KOTA CIMAHI,TNI/POLRI,1,UNIT,2019
174,32,JAWA BARAT,3277,KOTA CIMAHI,BUMN,0,UNIT,2019
175,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,4,UNIT,2019
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KEMENKES,0,UNIT,2019
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KEMENTERIAN LAIN,0,UNIT,2019
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEM.PROV,0,UNIT,2019
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEM.KAB/KOTA,1,UNIT,2019
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TNI/POLRI,0,UNIT,2019
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BUMN,0,UNIT,2019
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,6,UNIT,2019
183,32,JAWA BARAT,3279,KOTA BANJAR,KEMENKES,0,UNIT,2019
184,32,JAWA BARAT,3279,KOTA BANJAR,KEMENTERIAN LAIN,0,UNIT,2019
185,32,JAWA BARAT,3279,KOTA BANJAR,PEM.PROV,0,UNIT,2019
186,32,JAWA BARAT,3279,KOTA BANJAR,PEM.KAB/KOTA,1,UNIT,2019
187,32,JAWA BARAT,3279,KOTA BANJAR,TNI/POLRI,0,UNIT,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,BUMN,0,UNIT,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2,UNIT,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMENKES,0,UNIT,2020
191,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMENTERIAN LAIN,0,UNIT,2020
192,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEM.PROV,0,UNIT,2020
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEM.KAB/KOTA,4,UNIT,2020
194,32,JAWA BARAT,3201,KABUPATEN BOGOR,TNI/POLRI,1,UNIT,2020
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUMN,0,UNIT,2020
196,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,19,UNIT,2020
197,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMENKES,0,UNIT,2020
198,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMENTERIAN LAIN,0,UNIT,2020
199,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEM.PROV,1,UNIT,2020
200,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEM.KAB/KOTA,3,UNIT,2020
201,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TNI/POLRI,0,UNIT,2020
