id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita,satuan,tahun,jenis_penderita
105,32,JAWA BARAT,3276,KOTA DEPOK,38479.0,ORANG,2022,Diabetes
106,32,JAWA BARAT,3277,KOTA CIMAHI,9863.0,ORANG,2022,Diabetes
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10997.0,ORANG,2022,Diabetes
108,32,JAWA BARAT,3279,KOTA BANJAR,2377.0,ORANG,2022,Diabetes
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,65620.0,ORANG,2023,Diabetes
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14180.0,ORANG,2023,Diabetes
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,13398.0,ORANG,2023,Diabetes
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,59205.0,ORANG,2023,Diabetes
113,32,JAWA BARAT,3205,KABUPATEN GARUT,16367.0,ORANG,2023,Diabetes
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30058.0,ORANG,2023,Diabetes
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,14976.0,ORANG,2023,Diabetes
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18614.0,ORANG,2023,Diabetes
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,14055.0,ORANG,2023,Diabetes
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12096.0,ORANG,2023,Diabetes
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20443.0,ORANG,2023,Diabetes
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,31964.0,ORANG,2023,Diabetes
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,25530.0,ORANG,2023,Diabetes
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13201.0,ORANG,2023,Diabetes
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,36926.0,ORANG,2023,Diabetes
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,39979.0,ORANG,2023,Diabetes
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15874.0,ORANG,2023,Diabetes
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7110.0,ORANG,2023,Diabetes
127,32,JAWA BARAT,3271,KOTA BOGOR,17445.0,ORANG,2023,Diabetes
128,32,JAWA BARAT,3272,KOTA SUKABUMI,4336.0,ORANG,2023,Diabetes
129,32,JAWA BARAT,3273,KOTA BANDUNG,41413.0,ORANG,2023,Diabetes
130,32,JAWA BARAT,3274,KOTA CIREBON,21231.0,ORANG,2023,Diabetes
131,32,JAWA BARAT,3275,KOTA BEKASI,43257.0,ORANG,2023,Diabetes
132,32,JAWA BARAT,3276,KOTA DEPOK,43929.0,ORANG,2023,Diabetes
133,32,JAWA BARAT,3277,KOTA CIMAHI,10016.0,ORANG,2023,Diabetes
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11782.0,ORANG,2023,Diabetes
135,32,JAWA BARAT,3279,KOTA BANJAR,2385.0,ORANG,2023,Diabetes
136,32,JAWA BARAT,3279,KOTA BANJAR,65751.0,ORANG,2024,Diabetes
137,32,JAWA BARAT,3279,KOTA BANJAR,16011.0,ORANG,2024,Diabetes
138,32,JAWA BARAT,3279,KOTA BANJAR,15838.0,ORANG,2024,Diabetes
139,32,JAWA BARAT,3279,KOTA BANJAR,44200.0,ORANG,2024,Diabetes
140,32,JAWA BARAT,3279,KOTA BANJAR,24348.0,ORANG,2024,Diabetes
141,32,JAWA BARAT,3279,KOTA BANJAR,16386.0,ORANG,2024,Diabetes
142,32,JAWA BARAT,3279,KOTA BANJAR,14906.0,ORANG,2024,Diabetes
143,32,JAWA BARAT,3279,KOTA BANJAR,20252.0,ORANG,2024,Diabetes
144,32,JAWA BARAT,3279,KOTA BANJAR,19300.0,ORANG,2024,Diabetes
145,32,JAWA BARAT,3279,KOTA BANJAR,12502.0,ORANG,2024,Diabetes
146,32,JAWA BARAT,3279,KOTA BANJAR,21005.0,ORANG,2024,Diabetes
147,32,JAWA BARAT,3279,KOTA BANJAR,66896.0,ORANG,2024,Diabetes
148,32,JAWA BARAT,3279,KOTA BANJAR,26290.0,ORANG,2024,Diabetes
149,32,JAWA BARAT,3279,KOTA BANJAR,14348.0,ORANG,2024,Diabetes
150,32,JAWA BARAT,3279,KOTA BANJAR,38805.0,ORANG,2024,Diabetes
151,32,JAWA BARAT,3279,KOTA BANJAR,38666.0,ORANG,2024,Diabetes
152,32,JAWA BARAT,3279,KOTA BANJAR,15911.0,ORANG,2024,Diabetes
153,32,JAWA BARAT,3279,KOTA BANJAR,7312.0,ORANG,2024,Diabetes
154,32,JAWA BARAT,3279,KOTA BANJAR,17912.0,ORANG,2024,Diabetes
155,32,JAWA BARAT,3279,KOTA BANJAR,5255.0,ORANG,2024,Diabetes
156,32,JAWA BARAT,3279,KOTA BANJAR,42042.0,ORANG,2024,Diabetes
157,32,JAWA BARAT,3279,KOTA BANJAR,9524.0,ORANG,2024,Diabetes
158,32,JAWA BARAT,3279,KOTA BANJAR,46481.0,ORANG,2024,Diabetes
159,32,JAWA BARAT,3279,KOTA BANJAR,44061.0,ORANG,2024,Diabetes
160,32,JAWA BARAT,3279,KOTA BANJAR,10021.0,ORANG,2024,Diabetes
161,32,JAWA BARAT,3279,KOTA BANJAR,11782.0,ORANG,2024,Diabetes
162,32,JAWA BARAT,3279,KOTA BANJAR,2415.0,ORANG,2024,Diabetes
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,830741.0,ORANG,2019,Hipertensi
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,556688.0,ORANG,2019,Hipertensi
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,146150.0,ORANG,2019,Hipertensi
